time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
65536,22.08,-91.70091255000001,4,92,710,0.006961531859815295,0.017449055,0.2,0.197698974609375,6.721160888671875,-15.176271053403616,0.0003,800,14.788498386740685,0.7828489691019058
81920,22.74,-92.39451637,5,87,931,0.006160913739950047,0.015531935,0.2,0.18887939453125,7.54060173034668,-15.411390174925327,0.0003,810,14.353941188007592,0.7890723347663879
98304,23.1,-92.04054693999998,6,87,1126,0.006172120898827416,0.0147667285,0.2,0.19434814453125,7.688138008117676,-15.168204868212342,0.0003,820,15.040650890767575,0.7851040065288544
114688,22.23,-91.50279000999998,7,85,1342,0.006032528808555071,0.012944053,0.2,0.180743408203125,6.6495280265808105,-15.444550344720483,0.0003,830,15.49837837126106,0.7888071686029434
16384,22.01,-91.5337273,1,211,77,0.00773367994788714,0.013416807,0.2,0.19761962890625,7.123702526092529,-15.280249300599099,0.0003,840,16.287578836083412,0.7816826105117798
32768,22.39,-93.14055324999998,2,118,275,0.005645373874540382,0.015506051,0.2,0.187933349609375,9.637630462646484,-15.416951430588961,0.0003,850,16.447774481214584,0.7744232714176178
49152,22.22,-91.65357560000002,3,99,495,0.00541965088023062,0.013027092,0.2,0.189996337890625,8.279135704040527,-15.482030254974962,0.0003,860,15.84084701128304,0.7764037996530533
65536,22.79,-93.08806835999998,4,92,705,0.007761297525030386,0.016496647,0.2,0.20106201171875,7.500629425048828,-15.34244906641543,0.0003,870,16.196531812660396,0.7728532254695892
81920,21.91,-92.59057273,5,88,928,0.005279534160581534,0.014132696,0.2,0.18658447265625,10.233904838562012,-15.408930239453912,0.0003,880,16.146845386736096,0.7785099446773529
98304,22.54,-91.20451214999999,6,87,1128,0.006592692104732123,0.01616332,0.2,0.1996826171875,9.727712631225586,-15.346706304326654,0.0003,890,16.244647328183056,0.768273800611496
114688,21.96,-91.78330332,7,85,1344,0.005391502609654708,0.015541807,0.2,0.199249267578125,8.085800170898438,-15.35289269424975,0.0003,900,15.452487950399519,0.7831315398216248
16384,22.26,-92.22047271000001,1,203,80,0.007025018650438142,0.017351182,0.2,0.19417724609375,9.02743148803711,-15.33196910880506,0.0003,910,15.581073006801308,0.791279137134552
32768,22.56,-91.86719461000001,2,109,297,0.006413810190861113,0.014678827,0.2,0.216656494140625,6.698349952697754,-15.073393392190336,0.0003,920,15.308291523344815,0.7663265913724899
49152,22.85,-93.41035318,3,96,506,0.006708681016243645,0.016924843,0.2,0.19805908203125,5.575714111328125,-14.462175542116166,0.0003,930,16.00387817658484,0.7672866433858871
65536,22.24,-91.21480157,4,91,713,0.005241923890753242,0.014072526,0.2,0.1924560546875,8.435171127319336,-14.360790627077222,0.0003,940,15.423931783996522,0.7837444692850113
81920,22.14,-92.05908206,5,88,923,0.006063322619411338,0.015481764,0.2,0.18751220703125,6.525329113006592,-14.181232327222824,0.0003,950,17.367111130431294,0.7599889189004898
98304,22.28,-92.12363992,6,87,1122,0.006531517241182882,0.015122425,0.2,0.17669677734375,6.395285606384277,-13.953729221597314,0.0003,960,17.094640351459383,0.7665487825870514
114688,22.23,-91.73545786999999,7,85,1345,0.006733585468191449,0.01509124,0.2,0.208349609375,7.6916680335998535,-14.376113820448518,0.0003,970,15.637590163201093,0.7828411161899567
16384,22.23,-92.31438917999999,1,214,76,0.005776082535021487,0.014300049,0.2,0.191131591796875,8.742449760437012,-14.147669753432274,0.0003,980,16.274456159584226,0.7779872417449951
32768,21.13,-90.81580948000001,2,124,262,0.005687742366581006,0.015428573,0.2,0.196356201171875,9.233262062072754,-13.980882489308716,0.0003,990,17.559660721197723,0.7652919441461563
49152,22.84,-91.68408437,3,103,474,0.005646537008578889,0.015709585,0.2,0.199151611328125,6.080076694488525,-14.21379352323711,0.0003,1000,16.81473136655986,0.7775485664606094
65536,21.78,-91.53590164000003,4,96,679,0.0063085965751270125,0.015083836,0.2,0.1954833984375,5.933942794799805,-13.874334025755525,0.0003,1010,16.521529626473786,0.7780441790819168
81920,23.23,-92.68413419000002,5,92,884,0.005604894167663588,0.014625873,0.2,0.200537109375,7.758240699768066,-13.946003716811537,0.0003,1020,15.930390791781246,0.7776605933904648
98304,21.39,-92.14067720999999,6,90,1087,0.004770806750457268,0.014043147,0.2,0.176849365234375,7.054316520690918,-13.98707384839654,0.0003,1030,15.480859717540444,0.7821533530950546
114688,20.39,-89.74451128999999,7,88,1291,0.00522463793759016,0.013764126,0.2,0.189910888671875,8.980956077575684,-14.030971146374942,0.0003,1040,15.134043392166495,0.7867662459611893
16384,21.62,-92.09345869999999,1,230,71,0.005830515865727648,0.013794186,0.2,0.177685546875,5.395725727081299,-13.991362732648849,0.0003,1050,15.141761798411608,0.795472577214241
32768,21.26,-89.86562088999999,2,111,294,0.0037181299637268237,0.016438983,0.2,0.188140869140625,7.910750865936279,-13.758530650287867,0.0003,1060,14.805645566806197,0.7915482372045517
49152,22.6,-91.43744008,3,96,508,0.00643665627453629,0.014914246,0.2,0.185498046875,7.286525249481201,-13.959273355081677,0.0003,1070,14.926166434213519,0.7932854443788528
65536,21.9,-92.33413687999999,4,91,717,0.005547791131721169,0.014623176,0.2,0.1855224609375,6.474057197570801,-13.958410270512104,0.0003,1080,14.737945548444987,0.7896175980567932
81920,21.7,-90.38098977000001,5,88,923,0.005993819646846532,0.01636431,0.2,0.196893310546875,10.579817771911621,-13.912512151151896,0.0003,1090,15.530370924808086,0.788481280207634
98304,21.84,-91.82974763,6,86,1140,0.006111389855823291,0.014363306,0.2,0.19918212890625,7.597658634185791,-13.655622746795416,0.0003,1100,15.562469935417175,0.7850240021944046
114688,21.91,-91.72085293999999,7,85,1347,0.005163765772158513,0.014532041,0.2,0.17901611328125,6.8729472160339355,-13.70895769111812,0.0003,1110,16.051525219157337,0.7757235467433929
16384,21.47,-92.03325745999999,1,205,79,0.006319515419454547,0.015557047,0.2,0.197210693359375,7.883269786834717,-13.577937274426223,0.0003,1120,14.646137019060552,0.7941216677427292
32768,21.9,-89.57924778000002,2,113,289,0.005983731390824687,0.015026323,0.2,0.195721435546875,8.55179500579834,-13.584835690632463,0.0003,1130,15.47839885149151,0.7822776138782501
49152,21.61,-90.25812202000003,3,100,487,0.004611050539824646,0.01451608,0.2,0.1841064453125,9.481224060058594,-13.674342885240913,0.0003,1140,16.08960166722536,0.784615695476532
65536,21.62,-90.71847643,4,93,699,0.006364393557760195,0.016329596,0.2,0.195947265625,8.620349884033203,-13.791208470240235,0.0003,1150,16.13444662205875,0.7828593701124191
81920,21.56,-90.69247693000001,5,89,918,0.004857498468936683,0.016240384,0.2,0.191357421875,7.083891868591309,-13.567460701242089,0.0003,1160,16.071435985714196,0.7897285223007202
98304,21.31,-91.31906842999999,6,88,1111,0.005825652195471776,0.014074662,0.2,0.1828857421875,7.9217681884765625,-12.986939438059926,0.0003,1170,14.615956265106798,0.7890713661909103
114688,21.68,-91.28818844999999,7,87,1311,0.0051489272193066425,0.017486103,0.2,0.183416748046875,9.030128479003906,-13.31935959868133,0.0003,1180,15.125361726991832,0.781183585524559
16384,20.99,-90.73776670000001,1,228,71,0.005801702368171391,0.01545109,0.2,0.18094482421875,7.685108184814453,-13.148612279817462,0.0003,1190,15.157814088650047,0.7875139713287354
32768,20.61,-91.48092053000002,2,117,278,0.004646319977473468,0.014171444,0.2,0.1795166015625,8.066906929016113,-13.15117375254631,0.0003,1200,13.472470310889184,0.8095119595527649
49152,21.51,-91.67629049000001,3,99,494,0.004458225989310449,0.018002784,0.2,0.1826416015625,7.5547871589660645,-13.378646625950932,0.0003,1210,15.875537790730595,0.7759389132261276
65536,21.1,-88.74700867000001,4,93,704,0.004827782629126887,0.016497158,0.2,0.191363525390625,7.360933780670166,-13.198830380663276,0.0003,1220,15.921641583926975,0.7713481038808823
81920,22.72,-92.03434017000001,5,89,914,0.005371353866939899,0.015643297,0.2,0.18016357421875,5.861835956573486,-13.712179138883949,0.0003,1230,15.853872757777571,0.7828310579061508
98304,20.38,-90.80004020999999,6,87,1117,0.003947438071736542,0.014971212,0.2,0.18570556640625,12.122570037841797,-13.602135806903243,0.0003,1240,17.060993552207947,0.7780480831861496
114688,22.89,-93.61913776000002,7,86,1324,0.005477112247444893,0.01565787,0.2,0.177386474609375,7.278094291687012,-13.725734364241362,0.0003,1250,18.249407310970128,0.756594106554985
16384,20.84,-90.79501235999999,1,206,79,0.004903911886322021,0.013857774,0.2,0.187847900390625,10.013445854187012,-13.836129609122873,0.0003,1260,16.194332412444055,0.7804687321186066
32768,21.54,-92.45574849999998,2,110,296,0.004477556831807306,0.013239736,0.2,0.17073974609375,6.741877555847168,-13.77929629087448,0.0003,1270,15.956040740571916,0.7779523730278015
49152,21.53,-90.23656172999999,3,98,499,0.005219202318221506,0.014871521,0.2,0.185589599609375,9.879359245300293,-13.851002874970437,0.0003,1280,15.408933245018124,0.7896247655153275
65536,21.14,-89.84531829,4,92,708,0.004477371066059277,0.015105961,0.2,0.18411865234375,8.297125816345215,-13.787127225100994,0.0003,1290,18.023291304707527,0.7659748494625092
81920,21.87,-89.99883600000001,5,89,911,0.005964228045650088,0.014989645,0.2,0.19310302734375,6.986166000366211,-13.778743880987168,0.0003,1300,16.55930034853518,0.7839400619268417
98304,22.58,-90.63142822999998,6,87,1120,0.00459360901772925,0.014437091,0.2,0.18115234375,7.088958263397217,-14.029177596792579,0.0003,1310,16.96431403402239,0.7716117054224014
114688,21.86,-90.82572535000001,7,86,1323,0.00537408559157484,0.0147637455,0.2,0.17620849609375,7.877959251403809,-13.941352283582091,0.0003,1320,15.801300183869898,0.7870303094387054
16384,20.99,-91.20846302,1,214,76,0.004874970216314977,0.015444346,0.2,0.183551025390625,8.352239608764648,-14.058044428005815,0.0003,1330,16.691179892234505,0.7791120857000351
32768,20.82,-90.76740990999998,2,109,299,0.005064507822953601,0.014314705,0.2,0.19473876953125,8.825313568115234,-14.00094635784626,0.0003,1340,15.952902344986796,0.777371421456337
49152,21.52,-90.30119688999999,3,94,519,0.004217508992223884,0.015854605,0.2,0.18668212890625,9.601197242736816,-13.738450318202377,0.0003,1350,16.40365845244378,0.7752474844455719
65536,22.31,-90.92947026,4,88,744,0.004726151786690025,0.013864372,0.2,0.182379150390625,6.847575664520264,-14.150470419600605,0.0003,1360,15.839988259226084,0.7927419394254684
81920,21.62,-91.16367735000003,5,85,957,0.004858545659044466,0.014530368,0.2,0.17410888671875,8.261489868164062,-14.169588305428624,0.0003,1370,17.410486592911184,0.7698126286268234
98304,21.57,-91.73182873,6,83,1171,0.004522238956997171,0.014065455,0.2,0.184503173828125,6.354467391967773,-13.98903482221067,0.0003,1380,16.11126903537661,0.7813722491264343
114688,21.45,-90.85949613999999,7,82,1389,0.004196341908527757,0.015130175,0.2,0.18240966796875,7.9578962326049805,-14.037473338097334,0.0003,1390,16.560525298304857,0.7723405659198761
16384,22.08,-91.60858124000002,1,223,73,0.003553061182537931,0.01447366,0.2,0.173358154296875,7.040233612060547,-13.826869873702526,0.0003,1400,15.639949910156428,0.7854688763618469
32768,20.85,-90.35396620000003,2,113,289,0.004181106289161107,0.012665978,0.2,0.181951904296875,8.14811897277832,-13.756215662136674,0.0003,1410,15.6237099673599,0.7709256112575531
49152,22.16,-92.65355324000002,3,96,509,0.003906546372081721,0.014179386,0.2,0.174432373046875,9.342914581298828,-13.64695620983839,0.0003,1420,17.925514475815,0.753698393702507
65536,20.71,-90.59826478000001,4,91,712,0.004348814394779766,0.01273045,0.2,0.171038818359375,6.400343418121338,-13.522989396005869,0.0003,1430,16.788964169472457,0.7758547961711884
81920,22.05,-91.70859739999997,5,87,931,0.005429323349471815,0.012470461,0.2,0.17674560546875,8.273736000061035,-13.63877729922533,0.0003,1440,17.906908645480872,0.7577202022075653
98304,23.01,-91.51701003,6,86,1139,0.004844125527870347,0.014615789,0.2,0.17945556640625,11.415289878845215,-13.730379115790129,0.0003,1450,16.510170783102513,0.7734085619449615
114688,21.36,-92.14935673,7,84,1357,0.005828399462552624,0.011948928,0.2,0.170892333984375,6.278973579406738,-13.69277655556798,0.0003,1460,17.38708232231438,0.7756432145833969
16384,23.19,-90.89723758,1,217,75,0.004880417346248578,0.013023028,0.2,0.172296142578125,7.978156566619873,-13.795286477357148,0.0003,1470,16.548919804021715,0.7846351861953735
32768,20.59,-90.11141967000003,2,121,269,0.004867756181738514,0.015342366,0.2,0.18050537109375,7.948866367340088,-13.815850005298852,0.0003,1480,15.874334697052836,0.7885794639587402
49152,22.75,-92.05603864999999,3,102,480,0.004417010707311419,0.01432525,0.2,0.192376708984375,5.507570743560791,-13.94932907819748,0.0003,1490,16.590276561677456,0.7715102583169937
65536,23.14,-92.90356135,4,94,694,0.0044376640471455175,0.014281215,0.2,0.180975341796875,7.320193290710449,-13.963027680292726,0.0003,1500,16.91705920882523,0.7670317143201828
81920,22.94,-92.13616946999998,5,90,907,0.005481657995915157,0.01223534,0.2,0.18199462890625,9.084497451782227,-14.085963896661998,0.0003,1510,15.588525111414492,0.7825125455856323
98304,22.66,-90.90198867000001,6,86,1130,0.00473735900113752,0.014674507,0.2,0.17127685546875,7.223599910736084,-13.963919499516487,0.0003,1520,15.972305915132164,0.77629354596138
114688,23.07,-92.98271581,7,85,1343,0.004225893370494305,0.014051438,0.2,0.175048828125,7.741800785064697,-14.097120198607445,0.0003,1530,16.42420262210071,0.7724328935146332
16384,22.82,-93.18756495999997,1,223,73,0.0038770153393670624,0.01754506,0.2,0.18504638671875,6.767888069152832,-14.104179902374744,0.0003,1540,16.931633268482983,0.7672107666730881
32768,22.61,-92.53225225999999,2,112,292,0.0049746337415854215,0.013820807,0.2,0.17410888671875,5.794280529022217,-14.416910698637366,0.0003,1550,16.43991688415408,0.7796367704868317
49152,22.93,-91.46869706000001,3,98,501,0.004573873114941307,0.013561213,0.2,0.173663330078125,8.811361312866211,-14.436097705736756,0.0003,1560,17.56942676063627,0.7692788541316986
65536,22.6,-91.72706025000001,4,91,719,0.003654602464848722,0.013262082,0.2,0.176513671875,9.636205673217773,-14.370933117344975,0.0003,1570,17.181365366652606,0.7750452160835266
81920,23.6,-91.40563793,5,88,928,0.004509489235533693,0.012005089,0.2,0.166949462890625,6.1137309074401855,-14.384986847639084,0.0003,1580,17.47558755110949,0.7631551772356033
98304,22.34,-91.31881474999996,6,85,1143,0.0036135353346253398,0.013318611,0.2,0.17579345703125,6.684222221374512,-14.038169871270657,0.0003,1590,16.94649106450379,0.7665558308362961
114688,22.54,-92.56454109,7,85,1343,0.0037543630933214445,0.0152628245,0.2,0.1753662109375,7.516963958740234,-14.332866553589701,0.0003,1600,16.577406948432326,0.7689504623413086
16384,22.81,-91.41417971000003,1,190,86,0.003954849067122268,0.014227932,0.2,0.182421875,18.81041145324707,-14.297706877440215,0.0003,1610,18.637015647813676,0.7425951659679413
