time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
331,49,28.29,-97.88501083999999,1,16384,,,,,,,,,,
94,346,28.33,-97.78937978000002,2,32768,-0.031861090602978946,0.041824233,0.0014559626579284668,247.37234497070312,10,1098.9468175530433,0.2932861328125,0.0003,-22.158977882564066,0.2
83,588,28.55,-98.98972095999997,3,49152,-0.030226724069325427,0.013603301,0.5538354218006134,37.46677017211914,20,206.59534340947866,0.10672607421875,0.0003,-22.13725079521537,0.2
78,835,27.93,-98.53526244999998,4,65536,-0.04794671884737909,0.026092641,0.6916535496711731,14.360404968261719,30,36.151351664215326,0.288067626953125,0.0003,-22.114139640331267,0.2
79,1031,28.24,-98.86541065000002,5,81920,-0.0512466463022065,0.032487966,0.6812093257904053,7.711580276489258,40,16.25246622823179,0.359490966796875,0.0003,-22.087208899110557,0.2
80,1220,26.8,-96.74007081000002,6,98304,-0.05163468928976726,0.034743853,0.6818368434906006,6.684662818908691,50,15.337060891464352,0.368853759765625,0.0003,-22.055621123313905,0.2
81,1414,26.77,-96.73686868,7,114688,-0.051368846648438195,0.03498255,0.7008247673511505,6.718861103057861,60,13.741693828627467,0.3654052734375,0.0003,-22.024292108416557,0.2
227,71,28.49,-97.44423509999999,1,16384,-0.050714955015155286,0.036792193,0.7007026970386505,3.847139596939087,70,12.24066369831562,0.378753662109375,0.0003,-21.983863753080367,0.2
127,256,27.39,-99.01102495,2,32768,-0.050487950073693354,0.036750965,0.6436528265476227,3.6702256202697754,80,15.664762831665575,0.378265380859375,0.0003,-21.946066130697726,0.2
107,457,27.48,-98.64443032000001,3,49152,-0.052227267561465854,0.039778378,0.6711595058441162,5.698584079742432,90,14.233427868969738,0.4033203125,0.0003,-21.910250979661942,0.2
98,664,27.35,-97.16126829000001,4,65536,-0.050806824945357223,0.039536826,0.6948719918727875,4.302437782287598,100,12.809824923984706,0.40191650390625,0.0003,-21.877204095572232,0.2
94,866,27.73,-97.08608662,5,81920,-0.053680617066493144,0.0418427,0.6874563992023468,5.590092658996582,110,12.686235334724188,0.41019287109375,0.0003,-21.843703557550906,0.2
93,1048,27.9,-97.07238776,6,98304,-0.050545107593097785,0.042847663,0.6838405430316925,3.747980833053589,120,13.419400704093277,0.41239013671875,0.0003,-21.807013380527497,0.2
92,1237,29.25,-98.50998736,7,114688,-0.05178864526533289,0.0415973,0.6980264484882355,4.357873439788818,130,12.117049364186823,0.418231201171875,0.0003,-21.759568770229816,0.2
245,66,26.44,-97.19004637999998,1,16384,-0.052529282808063724,0.04260154,0.7107408046722412,6.26851224899292,140,12.889637424051761,0.415838623046875,0.0003,-21.723480140417813,0.2
124,262,26.94,-96.75684298999998,2,32768,-0.050580329737886134,0.04384412,0.702808678150177,5.526315212249756,150,12.698660344071687,0.429193115234375,0.0003,-21.689615231752395,0.2
105,466,28.16,-97.65660542000002,3,49152,-0.05131550254700414,0.04478532,0.6525100469589233,4.42103385925293,160,13.37775728944689,0.4270751953125,0.0003,-21.651735965162516,0.2
101,644,27.61,-97.42032343,4,65536,-0.05098755757517211,0.045303255,0.6712886393070221,7.065596580505371,170,13.827838829346002,0.42899169921875,0.0003,-21.604448529332878,0.2
97,842,28.87,-98.57253270999999,5,81920,-0.051037131464363485,0.04789146,0.7018373608589172,3.212968349456787,180,12.609416646882892,0.444287109375,0.0003,-21.562441469728945,0.2
93,1047,28.51,-96.39183484000002,6,98304,-0.05217625873920042,0.047415167,0.6878083348274231,3.886789321899414,190,13.123832415230572,0.4467529296875,0.0003,-21.529092036932706,0.2
90,1264,27.56,-98.15137148000002,7,114688,-0.04967640963914164,0.046638615,0.6762151122093201,2.8738088607788086,200,13.524681160785258,0.43388671875,0.0003,-21.495895862579346,0.2
255,64,28.42,-97.35968062,1,16384,-0.05141244429905782,0.048285022,0.6733209192752838,6.247222423553467,210,13.756175212934613,0.447314453125,0.0003,-21.46119698062539,0.2
129,252,26.47,-95.65627285000001,2,32768,-0.05009807574124352,0.04769638,0.6966213583946228,4.421712398529053,220,13.105510210618377,0.4467529296875,0.0003,-21.433486402779817,0.2
109,447,28.31,-96.23807255,3,49152,-0.050483214523410425,0.05032241,0.6768452227115631,4.710628986358643,230,13.83796251155436,0.45306396484375,0.0003,-21.382585130631924,0.2
101,648,27.79,-97.79027517,4,65536,-0.05004198885453661,0.048297763,0.6221064925193787,4.723579406738281,240,16.797571788355707,0.43748779296875,0.0003,-21.342502434551715,0.2
96,852,28.19,-97.33045985000001,5,81920,-0.05141554302117583,0.050387196,0.6601066887378693,5.567351341247559,250,14.03408522568643,0.461822509765625,0.0003,-21.311642397940158,0.2
94,1038,28.64,-95.79871841999999,6,98304,-0.051088740211434926,0.049715072,0.696014940738678,5.003539085388184,260,13.408094576001167,0.457293701171875,0.0003,-21.26729421839118,0.2
92,1235,28.39,-97.377653,7,114688,-0.051659876894518675,0.051952973,0.6952531039714813,4.420347690582275,270,13.406533421948552,0.46812744140625,0.0003,-21.241751077771188,0.2
205,79,27.2,-96.74237312999998,1,16384,-0.05017090900846597,0.05107795,0.7022184431552887,5.957558631896973,280,13.580963248759508,0.46142578125,0.0003,-21.214132770895958,0.2
123,266,27.85,-97.93279748000003,2,32768,-0.051597385155491796,0.053229697,0.7185394763946533,4.791626453399658,290,12.264738774485886,0.473687744140625,0.0003,-21.166003668308257,0.2
105,464,27.01,-96.53276017,3,49152,-0.052279140391510735,0.05407958,0.7092432677745819,4.108813762664795,300,12.542372615262867,0.47193603515625,0.0003,-21.118683254718782,0.2
100,655,29.08,-97.24957248000001,4,65536,-0.0514226210054403,0.052013762,0.6890215873718262,5.4047532081604,310,13.406845079362393,0.45936279296875,0.0003,-21.088754322379827,0.2
98,830,27.32,-96.85382194000002,5,81920,-0.05103390952663176,0.054062475,0.7238054573535919,3.758002281188965,320,12.865128434915096,0.474932861328125,0.0003,-21.03731127679348,0.2
95,1029,27.37,-96.33711185,6,98304,-0.05113560805402813,0.056141526,0.7088610827922821,4.025467872619629,330,13.893514885939657,0.4760986328125,0.0003,-20.988336977362632,0.2
92,1240,27.07,-95.25643789000002,7,114688,-0.04983350505381168,0.05232295,0.7337926626205444,4.051719665527344,340,12.073982575535775,0.479638671875,0.0003,-20.940158211439847,0.2
257,63,28.16,-96.83278274,1,16384,-0.050020299666857684,0.056859158,0.6919589936733246,3.376969814300537,350,14.233782199397684,0.481402587890625,0.0003,-20.89962982907891,0.2
130,250,27.47,-96.76062708,2,32768,-0.05105879019265558,0.055395618,0.7224513590335846,4.501026630401611,360,13.729893904738129,0.48001708984375,0.0003,-20.841482440382244,0.2
110,445,27.62,-95.40447542,3,49152,-0.0509486525002103,0.054242335,0.6651680767536163,4.600919246673584,370,15.575650971755385,0.472430419921875,0.0003,-20.794060146063565,0.2
101,645,27.67,-97.37782779999999,4,65536,-0.048250081972764744,0.057014376,0.6800484955310822,8.914690971374512,380,15.06030995156616,0.477606201171875,0.0003,-20.731876520067452,0.2
95,856,28.09,-95.0445468,5,81920,-0.05047452683193114,0.05640693,0.7073118984699249,3.783864974975586,390,13.253142760507762,0.48560791015625,0.0003,-20.712213495373724,0.2
93,1051,28.3,-95.39565631,6,98304,-0.05387379810726998,0.05967265,0.6997197270393372,4.285956859588623,400,12.915612928569317,0.50325927734375,0.0003,-20.656869716197253,0.2
92,1241,27.73,-97.30317475000001,7,114688,-0.04831055752765678,0.058402568,0.665348082780838,7.322526454925537,410,14.676521511748433,0.48726806640625,0.0003,-20.609058775752782,0.2
239,68,27.02,-96.78303268000002,1,16384,-0.05201790242845163,0.05895947,0.68837770819664,4.218167304992676,420,13.24432238228619,0.49925537109375,0.0003,-20.56816224530339,0.2
120,272,27.11,-95.00487922,2,32768,-0.04876087506490876,0.057230026,0.6731138825416565,4.648110866546631,430,15.211753688193857,0.48006591796875,0.0003,-20.500887371599674,0.2
104,472,28.5,-95.87901430000002,3,49152,-0.051941632414855124,0.058187652,0.7081850469112396,3.02841854095459,440,13.733870765194297,0.487890625,0.0003,-20.452959241718055,0.2
97,669,26.69,-95.56612939,4,65536,-0.04940805605233436,0.05960562,0.7293789088726044,5.594698905944824,450,13.956877560727298,0.494671630859375,0.0003,-20.414313895255326,0.2
96,847,27.64,-95.20858340999999,5,81920,-0.04991430884656438,0.058931794,0.6497678458690643,3.8682165145874023,460,16.462922346778214,0.489251708984375,0.0003,-20.402698626369236,0.2
95,1025,28.86,-94.57752615999999,6,98304,-0.05008439597422694,0.06011577,0.6611566245555878,5.664902687072754,470,15.138685386255384,0.4940185546875,0.0003,-20.358679255098103,0.2
93,1221,26.49,-94.46387627999998,7,114688,-0.047049523783243785,0.06102702,0.6395571529865265,5.578829765319824,480,18.10547824539244,0.48536376953125,0.0003,-20.31332867592573,0.2
278,58,28.54,-95.53165702999999,1,16384,-0.05120016758064594,0.063891165,0.6930760741233826,4.590845584869385,490,13.87584511898458,0.516412353515625,0.0003,-20.27936320900917,0.2
121,269,26.28,-94.73383127999999,2,32768,-0.04946914136253326,0.06126277,0.6802898049354553,5.556121826171875,500,16.49353481642902,0.48817138671875,0.0003,-20.217760594189166,0.2
106,461,29.52,-96.04432022,3,49152,-0.04705710031821582,0.060892,0.7130445837974548,8.869990348815918,510,14.007374342717231,0.500006103515625,0.0003,-20.176569529622792,0.2
99,658,28.97,-94.82086410999996,4,65536,-0.049474034467493766,0.063106574,0.711854100227356,6.013508319854736,520,15.61636700425297,0.50157470703125,0.0003,-20.116044503450393,0.2
95,857,28.51,-95.50097064999999,5,81920,-0.04989702147104254,0.060231194,0.7071787118911743,3.48673677444458,530,15.627155108191072,0.500543212890625,0.0003,-20.098261131346227,0.2
93,1051,26.6,-94.74501304000002,6,98304,-0.04970905853806471,0.06143491,0.6724800765514374,7.845714092254639,540,17.4639192443341,0.49381103515625,0.0003,-20.048156014084817,0.2
91,1254,27.83,-94.67067946000002,7,114688,-0.04917846987245866,0.060386032,0.6534419059753418,6.504518032073975,550,17.75319667737931,0.503985595703125,0.0003,-20.022317172586916,0.2
254,64,27.66,-93.71813855,1,16384,-0.04896020950664024,0.06041597,0.6916877627372742,4.040696144104004,560,16.62684807498008,0.501873779296875,0.0003,-19.98308992832899,0.2
124,264,28.42,-94.43755273999999,2,32768,-0.05008904609530873,0.06316255,0.7111461162567139,5.493681907653809,570,14.659976354427636,0.509503173828125,0.0003,-19.906073534488677,0.2
107,459,27.28,-94.35922919999997,3,49152,-0.04895284237945816,0.057149995,0.6659688651561737,11.888532638549805,580,18.884793270006774,0.4793212890625,0.0003,-19.89537136927247,0.2
97,669,29.08,-95.35950818,4,65536,-0.04910044615598963,0.060757495,0.6913838684558868,6.39094352722168,590,16.74479452949017,0.5100341796875,0.0003,-19.858006174117328,0.2
95,859,29.29,-96.73496874,5,81920,-0.04735231590293552,0.06377361,0.6707490980625153,5.4462690353393555,600,17.467639692686497,0.50067138671875,0.0003,-19.786239823699,0.2
92,1063,29.11,-96.53802295999999,6,98304,-0.051930126322622526,0.06251313,0.6991910040378571,7.135578632354736,610,18.096207930892707,0.502947998046875,0.0003,-19.700823008269072,0.2
91,1248,28.09,-94.52127865,7,114688,-0.04701788901766122,0.06053681,0.6364495754241943,6.123806953430176,620,21.584625486657025,0.488677978515625,0.0003,-19.623583215475083,0.2
224,72,30.08,-93.95265998999999,1,16384,-0.048424760596753914,0.06140077,0.6813777089118958,6.399141311645508,630,20.054044006206095,0.500048828125,0.0003,-19.560335678607224,0.2
122,266,28.49,-92.65688191999999,2,32768,-0.047155222500396124,0.060485844,0.6347986161708832,8.832953453063965,640,21.9710911847651,0.49525146484375,0.0003,-19.514839148521425,0.2
108,454,29.63,-92.91713928000001,3,49152,-0.04730082839923853,0.05764571,0.5965419411659241,14.384967803955078,650,26.70634971987456,0.490093994140625,0.0003,-19.470752116292715,0.2
99,655,28.79,-93.58903737,4,65536,-0.04845322619494254,0.06601907,0.6876967549324036,5.535990238189697,660,19.65077333021909,0.52042236328125,0.0003,-19.43338814154267,0.2
95,859,28.6,-92.1074991,5,81920,-0.047269344434789674,0.0623251,0.6498724222183228,4.705112457275391,670,21.784614374116064,0.508099365234375,0.0003,-19.363940192013978,0.2
92,1062,27.77,-91.79452074000001,6,98304,-0.04455758196199895,0.057592545,0.6190789937973022,8.099124908447266,680,24.00548363234848,0.48887939453125,0.0003,-19.30378197878599,0.2
91,1256,28.18,-93.72762066000001,7,114688,-0.049113144548573476,0.062832065,0.6622711718082428,10.848481178283691,690,22.95668239556253,0.505877685546875,0.0003,-19.294910403341056,0.2
271,60,30.15,-92.32337858999998,1,16384,-0.04978402042188464,0.06278516,0.6437787413597107,10.026971817016602,700,22.133663546666504,0.5101806640625,0.0003,-19.281016997992992,0.2
122,268,29.23,-92.80671526,2,32768,-0.046900103086954914,0.0652192,0.657235324382782,10.932933807373047,710,21.211362381279468,0.501800537109375,0.0003,-19.218538779765368,0.2
104,468,27.63,-91.42032769,3,49152,-0.0457612574160521,0.06384653,0.6573247909545898,5.975287914276123,720,21.723245867900552,0.5013916015625,0.0003,-19.16227143481374,0.2
97,672,30.37,-94.56395755,4,65536,-0.04581626634062559,0.06285176,0.636164128780365,7.761722564697266,730,24.88324276432395,0.499578857421875,0.0003,-19.075242763757707,0.2
92,883,29.67,-91.31422763999998,5,81920,-0.04986721588029468,0.06509453,0.6461590528488159,9.078805923461914,740,21.434400378726423,0.510894775390625,0.0003,-19.077822063863277,0.2
90,1084,29.39,-93.33952672,6,98304,-0.046908066156720454,0.061182756,0.5904822945594788,13.006897926330566,750,28.65610946379602,0.490252685546875,0.0003,-18.998636856675148,0.2
89,1279,28.06,-92.94030867,7,114688,-0.04657884599419049,0.06227109,0.5855959057807922,7.032359600067139,760,29.322571385279296,0.50447998046875,0.0003,-18.974128495156766,0.2
239,68,29.18,-93.09865911999998,1,16384,-0.04795631652468728,0.06409623,0.5650132894515991,9.976885795593262,770,31.576890409737825,0.4957275390625,0.0003,-18.948630235344172,0.2
124,262,28.28,-94.20585496999996,2,32768,-0.04659157875103119,0.067983255,0.60211181640625,8.586636543273926,780,29.640643132850528,0.51429443359375,0.0003,-18.847541861236095,0.2
107,458,30.51,-92.85830770999999,3,49152,-0.046508823369913445,0.063979626,0.6136690080165863,14.451354026794434,790,28.386812519654633,0.511224365234375,0.0003,-18.82461701706052,0.2
99,655,30.63,-91.18769621999998,4,65536,-0.04674982186706984,0.063210934,0.590898185968399,5.964576244354248,800,32.941710617765786,0.49044189453125,0.0003,-18.74054964259267,0.2
96,850,31.79,-91.22838500999998,5,81920,-0.04564139675567276,0.058927163,0.5053644478321075,13.22692584991455,810,42.22958490401506,0.484637451171875,0.0003,-18.69017199203372,0.2
93,1046,30.67,-91.91795777000002,6,98304,-0.04584268924486423,0.06200013,0.5544295608997345,8.776516914367676,820,38.537403700500725,0.50032958984375,0.0003,-18.65019733309746,0.2
91,1246,30.25,-91.50455283000001,7,114688,-0.04769892483982403,0.058783382,0.5307628512382507,15.534441947937012,830,43.29004682190716,0.4796630859375,0.0003,-18.58077108860016,0.2
229,71,29.55,-91.47042546000003,1,16384,-0.044343831667447375,0.06418598,0.6124756932258606,19.581003189086914,840,38.2880045901984,0.507891845703125,0.0003,-18.562290285527705,0.2
125,261,30.27,-91.00914582000001,2,32768,-0.0456058438612672,0.060681988,0.5233668088912964,19.78445816040039,850,41.57759144306183,0.484600830078125,0.0003,-18.538920366764067,0.2
