time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
107,455,32.9,-89.20497759,3,49152,-0.046646746315673226,0.061651282,0.5737703144550323,17.936887741088867,860,44.339036625623706,0.48917236328125,0.0003,-18.461625311523676,0.2
98,667,32.89,-91.3672498,4,65536,-0.04714718417508266,0.05069353,0.5061209499835968,15.110858917236328,870,59.73322971835732,0.447052001953125,0.0003,-18.382092411071064,0.2
94,863,31.09,-91.73132925000002,5,81920,-0.04346379452235851,0.05819603,0.5154402852058411,16.560667037963867,880,53.634816461056474,0.48162841796875,0.0003,-18.341465524584056,0.2
92,1060,33.16,-89.97068732,6,98304,-0.04348159883347762,0.058313094,0.551707923412323,13.2750825881958,890,49.02955517470836,0.483721923828125,0.0003,-18.314217115938664,0.2
91,1252,32.35,-89.35180634,7,114688,-0.047171635050654005,0.05398563,0.5633340775966644,31.709453582763672,900,52.45271921157837,0.475482177734375,0.0003,-18.259002931416035,0.2
264,61,31.67,-90.61526036000001,1,16384,-0.047061402896179064,0.0551989,0.5496048927307129,20.386064529418945,910,63.343169290572405,0.4611328125,0.0003,-18.242208757996558,0.2
127,257,31.42,-90.54527403000002,2,32768,-0.04383334111398653,0.05394093,0.5684132277965546,16.93770408630371,920,61.37092105224728,0.46895751953125,0.0003,-18.27028540149331,0.2
105,464,30.74,-90.83036607999999,3,49152,-0.04498044479551026,0.06067352,0.5507746040821075,21.544790267944336,930,49.36183636039495,0.490655517578125,0.0003,-18.207579461485146,0.2
97,674,33.0,-87.07198687999998,4,65536,-0.044599993787596756,0.056685124,0.5618630349636078,12.832200050354004,940,54.55053167939186,0.477276611328125,0.0003,-18.17590599358082,0.2
93,874,32.47,-89.03407159999999,5,81920,-0.04530283693056845,0.057924226,0.5561292767524719,20.603412628173828,950,54.97288618087769,0.469696044921875,0.0003,-18.14189108386636,0.2
92,1066,31.7,-88.58718741999999,6,98304,-0.04296750667253946,0.052444268,0.5311064720153809,18.200681686401367,960,64.36484214812518,0.4587646484375,0.0003,-18.09315230846405,0.2
90,1267,34.32,-88.17502497,7,114688,-0.04284414072844811,0.05361528,0.5447962284088135,34.27360153198242,970,65.20073089078069,0.463751220703125,0.0003,-18.079717528820037,0.2
224,72,30.73,-91.04819994000002,1,16384,-0.04508266820103017,0.05557947,0.519280344247818,19.889793395996094,980,69.89209420979023,0.468414306640625,0.0003,-18.03794877678156,0.2
122,266,30.17,-89.47192863999999,2,32768,-0.043528436919586966,0.057590514,0.5627278685569763,21.089933395385742,990,59.28994673267007,0.48277587890625,0.0003,-18.01902640685439,0.2
108,454,34.39,-86.03444464999998,3,49152,-0.042349658095554334,0.053022437,0.5233874619007111,29.724761962890625,1000,64.70128397122025,0.46414794921875,0.0003,-18.029645764827727,0.2
99,657,32.08,-87.85615716000001,4,65536,-0.04062617130648505,0.04966508,0.5468668043613434,32.61527633666992,1010,81.6638842396438,0.43251953125,0.0003,-17.93190298229456,0.2
96,845,33.29,-87.35926644,5,81920,-0.04394957183785664,0.052050985,0.6319291591644287,16.214797973632812,1020,77.08895355835557,0.454498291015625,0.0003,-17.845893393456937,0.2
94,1042,30.21,-85.19646694,6,98304,-0.04116750977354968,0.053588845,0.4317207932472229,20.70034408569336,1030,82.16041057407855,0.4632080078125,0.0003,-17.89611813351512,0.2
92,1245,32.04,-90.01173012000001,7,114688,-0.04273305441402044,0.05436157,0.525725245475769,26.00160789489746,1040,70.45466375425458,0.47362060546875,0.0003,-17.861525426059963,0.2
256,63,34.29,-87.53769861999999,1,16384,-0.04183658502279286,0.054377444,0.5355490446090698,28.652864456176758,1050,74.36038312241435,0.454779052734375,0.0003,-17.75274310335517,0.2
119,273,33.16,-88.17952854,2,32768,-0.04380626235315503,0.05153139,0.5298226177692413,26.075428009033203,1060,80.00023707002401,0.451556396484375,0.0003,-17.67766843289137,0.2
108,454,33.39,-87.783411,3,49152,-0.04501622706375201,0.0564529,0.5459704697132111,20.531999588012695,1070,74.80957232937217,0.47376708984375,0.0003,-17.707952516525985,0.2
101,646,34.23,-86.12996134999999,4,65536,-0.04416661806280899,0.053565614,0.5133511424064636,37.958988189697266,1080,71.39836813434958,0.469818115234375,0.0003,-17.654567743092777,0.2
96,846,33.17,-86.85801496,5,81920,-0.04426099789543514,0.04867547,0.5209227502346039,25.327903747558594,1090,83.55218934342265,0.44296875,0.0003,-17.55239980071783,0.2
94,1036,33.33,-86.38569659999999,6,98304,-0.046261316998243276,0.05479168,0.5453451573848724,28.328556060791016,1100,80.97188498824835,0.470684814453125,0.0003,-17.54743575453758,0.2
92,1241,34.69,-85.37299833000002,7,114688,-0.042217826535215865,0.048142128,0.5658421218395233,35.24886703491211,1110,90.92785176560282,0.4388427734375,0.0003,-17.482054326683283,0.2
223,73,34.05,-85.36207199,1,16384,-0.043280291771952764,0.051272444,0.563610166311264,35.2521858215332,1120,87.68349843099713,0.44869384765625,0.0003,-17.40207897797227,0.2
125,260,33.16,-86.68025203999997,2,32768,-0.0450877396733631,0.051436417,0.5406760573387146,31.351839065551758,1130,94.80887818783522,0.447845458984375,0.0003,-17.42366393879056,0.2
106,462,36.45,-88.56182710000002,3,49152,-0.04445576965808869,0.050008923,0.5972426533699036,33.64729690551758,1140,93.70130804777145,0.450848388671875,0.0003,-17.38491104915738,0.2
99,655,33.29,-86.07725653000001,4,65536,-0.043767345949891026,0.049453627,0.5668105781078339,26.603666305541992,1150,91.44791142344475,0.44158935546875,0.0003,-17.220580292493104,0.2
97,842,38.34,-84.77063106000001,5,81920,-0.04327017597379381,0.05331255,0.6088487207889557,22.90276527404785,1160,79.79065432474017,0.4621826171875,0.0003,-17.3236378185451,0.2
93,1045,33.91,-87.10150924,6,98304,-0.04316982613145228,0.050059766,0.5578570663928986,36.67903518676758,1170,89.24415031820536,0.441375732421875,0.0003,-17.258530332148077,0.2
92,1241,39.19,-81.24656917000001,7,114688,-0.04252440575091896,0.04881856,0.5530115365982056,33.729454040527344,1180,96.59392745643854,0.444537353515625,0.0003,-17.21783876940608,0.2
223,73,34.85,-86.13805058999998,1,16384,-0.04027868190169102,0.04694703,0.5407279133796692,39.53319549560547,1190,114.32993932515383,0.417333984375,0.0003,-17.122853325307368,0.2
124,262,38.17,-83.52985217999999,2,32768,-0.04314850671362365,0.047541194,0.5624018609523773,40.4694938659668,1200,112.70360347032548,0.43839111328125,0.0003,-17.03702128380537,0.2
104,469,37.63,-81.85340716,3,49152,-0.043589530662211474,0.04453332,0.525110512971878,71.88581085205078,1210,137.37561702132226,0.423101806640625,0.0003,-17.01801624596119,0.2
98,667,35.71,-82.03050126000002,4,65536,-0.04484834078339191,0.045415252,0.6019568741321564,54.50132751464844,1220,125.48951138406991,0.430438232421875,0.0003,-16.980768305063247,0.2
94,864,36.47,-81.05529637,5,81920,-0.042733728209441324,0.046513874,0.5898816287517548,33.85417175292969,1230,121.32651016414165,0.4343994140625,0.0003,-16.963750656694174,0.2
93,1053,33.99,-84.50169675,6,98304,-0.043552196279324565,0.045468677,0.5532257258892059,24.26418113708496,1240,127.08038163930178,0.426025390625,0.0003,-16.86397940069437,0.2
92,1241,38.01,-77.42321390000001,7,114688,-0.042335237316547134,0.048677564,0.584396481513977,51.31599807739258,1250,115.98355454057454,0.4462646484375,0.0003,-16.925537023693323,0.2
260,62,35.52,-83.67171908999998,1,16384,-0.0427763566413887,0.044880524,0.6376259326934814,42.23222351074219,1260,121.93593253046274,0.432025146484375,0.0003,-16.7515046864748,0.2
130,251,35.81,-83.15910385,2,32768,-0.041884746522350726,0.046011314,0.6059305369853973,31.585830688476562,1270,112.00106658637523,0.4337890625,0.0003,-16.817658500373362,0.2
107,457,40.43,-79.90317038999999,3,49152,-0.04089284242854774,0.046268016,0.5401295721530914,37.7161750793457,1280,125.62424774765968,0.426202392578125,0.0003,-16.772655870765448,0.2
97,673,38.81,-80.60098358,4,65536,-0.044052084005897996,0.046123356,0.5741293430328369,50.30141830444336,1290,121.5268392905593,0.432696533203125,0.0003,-16.700562140345575,0.2
93,876,37.66,-82.78756366000002,5,81920,-0.04382332520544878,0.04173912,0.6103091537952423,38.67987823486328,1300,130.48387726843356,0.4125,0.0003,-16.698328501731158,0.2
92,1061,41.64,-78.20659376000002,6,98304,-0.042011586655007704,0.04803653,0.6026151776313782,42.97125244140625,1310,126.60061120539903,0.430560302734375,0.0003,-16.65976466163993,0.2
91,1251,37.81,-79.88667901999999,7,114688,-0.04183864144069958,0.04195496,0.6197888553142548,42.0632438659668,1320,128.1558648020029,0.409649658203125,0.0003,-16.56442622616887,0.2
230,71,37.13,-82.56786985000001,1,16384,-0.042368979445382135,0.041899428,0.5880705714225769,55.917259216308594,1330,150.26065207272768,0.4142578125,0.0003,-16.6866450317204,0.2
122,268,42.82,-75.78278667999999,2,32768,-0.04233433986100863,0.047093257,0.575711190700531,46.43098449707031,1340,123.52988500595093,0.42869873046875,0.0003,-16.581453758478165,0.2
104,470,38.44,-81.86275517999998,3,49152,-0.04123176924440486,0.040714316,0.5810428559780121,86.06656646728516,1350,155.10100218355655,0.391192626953125,0.0003,-16.48438132070005,0.2
100,649,39.15,-80.61586425,4,65536,-0.04221994233375881,0.04395441,0.6252836287021637,62.01881408691406,1360,138.88372630774975,0.42169189453125,0.0003,-16.488253064826132,0.2
95,857,39.71,-79.40261654000001,5,81920,-0.04289093823063013,0.04439372,0.6514707207679749,48.19309616088867,1370,134.91217281222345,0.421356201171875,0.0003,-16.451630810275674,0.2
93,1056,37.6,-80.98609748000001,6,98304,-0.04330736476968013,0.0434006,0.604125440120697,61.90399169921875,1380,136.93527188897133,0.4178955078125,0.0003,-16.487011170759796,0.2
91,1252,38.85,-80.45943669000002,7,114688,-0.042555937493034435,0.046630315,0.5070648789405823,65.06480407714844,1390,136.33156528919935,0.429425048828125,0.0003,-16.379512733221055,0.2
254,64,39.67,-80.14751043,1,16384,-0.04137007104127406,0.042662695,0.5981005132198334,46.635353088378906,1400,138.9046041995287,0.4158935546875,0.0003,-16.402294673770665,0.2
119,273,39.65,-80.3073766,2,32768,-0.04361519613739802,0.043755695,0.5886700451374054,51.057769775390625,1410,143.80346226990224,0.4208251953125,0.0003,-16.359807085245848,0.2
101,483,39.02,-78.74995818000001,3,49152,-0.0438629018211941,0.044812825,0.5819286108016968,34.16971206665039,1420,146.33724011778833,0.42342529296875,0.0003,-16.3708209823817,0.2
95,686,39.57,-79.02984206,4,65536,-0.041731663259997734,0.043569684,0.6171324253082275,36.4867057800293,1430,148.7725644543767,0.411846923828125,0.0003,-16.2342393245548,0.2
91,899,40.65,-76.95113932999999,5,81920,-0.04161236976742657,0.04174412,0.6283646523952484,69.85681915283203,1440,152.32757430821658,0.398736572265625,0.0003,-16.216182678937912,0.2
88,1108,40.67,-80.29307566,6,98304,-0.04160493105009664,0.040166125,0.5907989740371704,37.56413650512695,1450,156.70364055037498,0.40303955078125,0.0003,-16.20140986777842,0.2
88,1302,40.96,-78.84739194,7,114688,-0.041106049250811336,0.044046227,0.5790890455245972,50.01938247680664,1460,150.2158578172326,0.41854248046875,0.0003,-16.248390093445778,0.2
259,63,42.38,-75.96222223,1,16384,-0.04076973505289061,0.043093897,0.602680891752243,42.81338119506836,1470,149.56347796469927,0.40706787109375,0.0003,-16.194016871973872,0.2
120,272,40.97,-76.70806037999999,2,32768,-0.04020462099888391,0.040838808,0.6401782333850861,84.27727508544922,1480,163.61566258966923,0.3986083984375,0.0003,-16.113801220804454,0.2
102,477,42.57,-73.39177171,3,49152,-0.042700141507884835,0.040956315,0.6054388284683228,71.94284057617188,1490,169.13706729412078,0.401910400390625,0.0003,-16.142728111147882,0.2
97,669,42.07,-76.35538811,4,65536,-0.04180395703606336,0.038167946,0.5393501818180084,60.439823150634766,1500,195.98852744698524,0.384564208984375,0.0003,-16.059435215592384,0.2
95,855,44.96,-71.58068046999999,5,81920,-0.04038021537999157,0.039215527,0.6491061151027679,72.79985046386719,1510,158.77619970738888,0.40128173828125,0.0003,-16.10734105333686,0.2
93,1054,40.88,-77.29778667000001,6,98304,-0.04012301648008361,0.0422123,0.6329478025436401,40.0360221862793,1520,148.0348877683282,0.408380126953125,0.0003,-16.03133767619729,0.2
91,1253,40.74,-76.86415158,7,114688,-0.04277442742732092,0.04152265,0.614167183637619,40.22368621826172,1530,160.5772421464324,0.40701904296875,0.0003,-16.016317830607296,0.2
245,66,41.39,-77.56311375000001,1,16384,-0.03836970209067658,0.041022666,0.652381032705307,66.52422332763672,1540,153.37264549434184,0.4046875,0.0003,-15.962879218906163,0.2
125,261,43.11,-76.63654910999999,2,32768,-0.04053026881938422,0.041045338,0.6487115323543549,48.14858627319336,1550,171.1773196145892,0.405828857421875,0.0003,-16.003389986604454,0.2
109,450,44.01,-71.79578805000001,3,49152,-0.04017268540183068,0.039385717,0.6577540338039398,69.68606567382812,1560,173.96130870580674,0.390478515625,0.0003,-15.94293167591095,0.2
101,644,40.34,-78.37719631,4,65536,-0.03923135841359908,0.038679726,0.6625366508960724,34.06589889526367,1570,160.19520491063594,0.3917236328125,0.0003,-15.920280946418643,0.2
97,842,46.95,-70.76256181,5,81920,-0.040457161425365484,0.037727166,0.6654151082038879,36.87680435180664,1580,186.8459995120764,0.378436279296875,0.0003,-15.95922980606556,0.2
94,1041,46.24,-73.39088411,6,98304,-0.04066365698008667,0.03758958,0.6111163794994354,58.38298034667969,1590,186.92851701974868,0.379913330078125,0.0003,-15.909025244414806,0.2
92,1246,39.62,-79.34471660999999,7,114688,-0.04103312769120748,0.04021455,0.6274024546146393,94.80904388427734,1600,187.95674232542515,0.397216796875,0.0003,-15.909968457370997,0.2
261,62,43.69,-71.36995085000001,1,16384,-0.04061078379927494,0.036415488,0.6171790361404419,85.38102722167969,1610,182.50859347581863,0.388671875,0.0003,-15.926726165413857,0.2
120,273,43.28,-75.02092941999999,2,32768,-0.03989840503600135,0.037943654,0.5948157012462616,84.7325668334961,1620,210.18525529503822,0.38388671875,0.0003,-15.925834380090237,0.2
102,479,43.62,-68.86053852,3,49152,-0.04078933272121503,0.04031682,0.6224886775016785,87.24493408203125,1630,176.49751667380332,0.401458740234375,0.0003,-16.008462080731988,0.2
98,664,42.73,-73.7930127,4,65536,-0.03820078443841339,0.036304753,0.6509047746658325,78.53951263427734,1640,210.93822551965712,0.3791748046875,0.0003,-15.944859249144793,0.2
95,860,47.24,-70.87846474999999,5,81920,-0.04035938741753853,0.037513178,0.6258165836334229,77.42334747314453,1650,203.76909419894218,0.3742431640625,0.0003,-15.828778046369553,0.2
93,1045,40.04,-78.41893293,6,98304,-0.04019983273519756,0.039476328,0.687502920627594,52.16794967651367,1660,176.68783083707095,0.387445068359375,0.0003,-15.846315722167493,0.2
91,1252,43.22,-74.98320065,7,114688,-0.03970844207506161,0.036952164,0.6736781299114227,68.24755859375,1670,191.75018487274647,0.3737060546875,0.0003,-15.777237024903297,0.2
232,70,45.63,-71.05886769,1,16384,-0.03890947331283314,0.040467568,0.6500646770000458,103.29169464111328,1680,171.8594318985939,0.40732421875,0.0003,-15.816550436615945,0.2
120,272,47.22,-69.99554723,2,32768,-0.038361812285165796,0.03816772,0.5844205021858215,71.4205551147461,1690,182.1336317718029,0.38189697265625,0.0003,-15.748820298910141,0.2
104,472,45.96,-69.00762474999999,3,49152,-0.03962224393244469,0.036308963,0.65248242020607,88.50919342041016,1700,197.84410612285137,0.3705322265625,0.0003,-15.700295116007329,0.2
96,681,50.25,-65.22789114000001,4,65536,-0.03854173185845866,0.037059613,0.6595748364925385,91.157958984375,1710,204.13841140568258,0.3704345703125,0.0003,-15.646136423945427,0.2
97,840,55.33,-55.58919273999999,5,81920,-0.0391798309377009,0.036493443,0.6729248464107513,67.14435577392578,1720,202.43704022467136,0.375732421875,0.0003,-15.588573805615306,0.2
